                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.0642,                0.53434,                0.98196,                0.75774,                0.62512,                0.68349,                0.41455,                 1.3541,                 1.4263,                 1.4299,               0.007921,               0.007921,               0.007921
                    108,                 1.0675,                0.53544,                 0.9797,                 0.7338,                0.63078,                0.68331,                0.41856,                 1.3517,                 1.4127,                 1.4347,              0.0079012,              0.0079012,              0.0079012
                    109,                 1.0687,                 0.5346,                0.97438,                0.74794,                0.61219,                 0.6675,                0.40918,                 1.3544,                 1.5092,                 1.4324,              0.0078814,              0.0078814,              0.0078814
                    110,                 1.0541,                0.52669,                0.97043,                0.72598,                0.62988,                0.68506,                0.41996,                 1.3524,                 1.3619,                 1.4368,              0.0078616,              0.0078616,              0.0078616
                    111,                 1.0574,                0.53004,                0.97025,                0.73112,                0.61974,                 0.6806,                0.42094,                 1.3455,                 1.4203,                 1.4226,              0.0078418,              0.0078418,              0.0078418
                    112,                 1.0471,                0.52137,                0.96688,                0.73432,                0.61497,                0.68197,                0.42168,                  1.347,                 1.4137,                 1.4272,               0.007822,               0.007822,               0.007822
                    113,                 1.0474,                 0.5226,                0.96731,                0.71036,                0.62403,                0.66931,                 0.4126,                  1.341,                 1.4121,                 1.4223,              0.0078022,              0.0078022,              0.0078022
                    114,                 1.0369,                0.51965,                 0.9702,                0.73584,                0.63123,                0.68927,                  0.423,                  1.348,                 1.3795,                 1.4305,              0.0077824,              0.0077824,              0.0077824
                    115,                 1.0433,                0.52117,                0.96447,                0.74985,                0.62011,                0.68272,                0.42169,                 1.3568,                 1.3938,                 1.4462,              0.0077626,              0.0077626,              0.0077626
                    116,                 1.0397,                0.51865,                0.96002,                0.71945,                0.63433,                0.67359,                0.41578,                 1.3551,                 1.4527,                 1.4315,              0.0077428,              0.0077428,              0.0077428
                    117,                 1.0328,                0.51433,                0.96117,                0.72624,                0.62201,                 0.6715,                0.41606,                 1.3516,                 1.4409,                  1.426,               0.007723,               0.007723,               0.007723
                    118,                 1.0387,                0.51459,                0.96134,                0.71901,                0.64296,                0.67807,                0.41712,                 1.3513,                 1.3776,                 1.4338,              0.0077032,              0.0077032,              0.0077032
                    119,                  1.034,                0.51725,                0.96453,                0.76307,                0.63104,                0.69505,                0.42427,                 1.3464,                 1.2614,                 1.4348,              0.0076834,              0.0076834,              0.0076834
                    120,                 1.0272,                0.51225,                0.96125,                0.76898,                0.61394,                0.69133,                0.42426,                 1.3631,                 1.3095,                 1.4505,              0.0076636,              0.0076636,              0.0076636
                    121,                 1.0308,                0.51701,                0.96366,                0.74927,                 0.6256,                0.68797,                0.42498,                 1.3688,                 1.3921,                 1.4513,              0.0076438,              0.0076438,              0.0076438
                    122,                 1.0219,                0.50957,                0.95805,                0.76102,                0.61733,                0.67845,                0.41888,                 1.3693,                 1.3893,                 1.4486,               0.007624,               0.007624,               0.007624
                    123,                  1.021,                0.50864,                0.95459,                0.74821,                0.60507,                0.67779,                0.41332,                 1.3656,                 1.3833,                 1.4581,              0.0076042,              0.0076042,              0.0076042
                    124,                 1.0169,                 0.5071,                0.95855,                0.71905,                0.63397,                0.68302,                0.42112,                 1.3792,                  1.361,                 1.4657,              0.0075844,              0.0075844,              0.0075844
                    125,                   1.01,                 0.4998,                0.95563,                0.74975,                0.59638,                0.67242,                0.41447,                 1.3791,                 1.3515,                  1.464,              0.0075646,              0.0075646,              0.0075646
                    126,                 1.0046,                0.49754,                0.95137,                0.69883,                0.64009,                0.67582,                0.41878,                 1.3905,                 1.4326,                 1.4626,              0.0075448,              0.0075448,              0.0075448
                    127,                 1.0139,                0.50233,                0.96001,                0.75924,                0.61067,                0.68399,                0.42401,                 1.3815,                 1.4444,                 1.4639,               0.007525,               0.007525,               0.007525
                    128,                0.99435,                0.49426,                0.95106,                0.71924,                0.64066,                0.68667,                0.42236,                 1.3537,                 1.4225,                 1.4486,              0.0075052,              0.0075052,              0.0075052
                    129,                0.99841,                0.49608,                0.94581,                0.75264,                0.61502,                 0.6761,                0.41622,                 1.3555,                 1.4236,                  1.446,              0.0074854,              0.0074854,              0.0074854
                    130,                 1.0007,                0.49784,                 0.9464,                0.73714,                0.62063,                0.67806,                0.41505,                 1.3527,                 1.4364,                 1.4466,              0.0074656,              0.0074656,              0.0074656
                    131,                0.98818,                0.49173,                0.94894,                0.71041,                0.64606,                0.68388,                0.42172,                 1.3402,                 1.3081,                 1.4454,              0.0074458,              0.0074458,              0.0074458
                    132,                0.98928,                0.49239,                 0.9514,                0.73028,                 0.6354,                0.67865,                0.42198,                 1.3435,                 1.3182,                 1.4448,               0.007426,               0.007426,               0.007426
                    133,                0.98692,                0.49345,                0.94601,                0.70464,                 0.6326,                0.67874,                0.42309,                 1.3488,                  1.327,                 1.4427,              0.0074062,              0.0074062,              0.0074062
                    134,                0.97671,                0.48176,                0.94043,                 0.7378,                 0.6135,                0.67341,                0.41976,                 1.3592,                 1.3899,                 1.4466,              0.0073864,              0.0073864,              0.0073864
                    135,                0.98701,                0.49048,                0.94471,                0.75863,                0.61454,                0.67773,                0.42041,                 1.3596,                 1.3256,                 1.4555,              0.0073666,              0.0073666,              0.0073666
                    136,                0.97601,                0.48573,                0.94167,                0.76077,                0.62965,                0.68503,                0.42406,                 1.3568,                 1.3144,                 1.4497,              0.0073468,              0.0073468,              0.0073468
                    137,                0.97032,                0.47878,                0.93969,                0.75801,                  0.621,                0.68084,                0.42266,                 1.3615,                 1.3609,                 1.4447,               0.007327,               0.007327,               0.007327
                    138,                0.97983,                0.48555,                0.94462,                 0.7367,                0.62375,                 0.6758,                 0.4203,                  1.374,                 1.3439,                 1.4598,              0.0073072,              0.0073072,              0.0073072
                    139,                0.96906,                0.48145,                0.94383,                0.76272,                 0.5988,                0.66856,                0.41732,                 1.3618,                 1.3666,                 1.4543,              0.0072874,              0.0072874,              0.0072874
                    140,                0.96053,                0.47587,                  0.938,                0.75842,                0.61614,                0.67949,                0.42086,                 1.3593,                 1.3541,                 1.4554,              0.0072676,              0.0072676,              0.0072676
                    141,                0.96968,                0.48248,                0.94025,                0.74944,                 0.6135,                0.68178,                0.42285,                 1.3627,                 1.3283,                 1.4561,              0.0072478,              0.0072478,              0.0072478
                    142,                0.94472,                0.47283,                0.93789,                0.73981,                0.63098,                0.68721,                0.42784,                  1.356,                 1.3214,                 1.4546,               0.007228,               0.007228,               0.007228
                    143,                0.96057,                0.47838,                 0.9385,                0.74048,                0.62838,                0.69055,                0.42604,                 1.3577,                 1.3769,                 1.4526,              0.0072082,              0.0072082,              0.0072082
                    144,                0.95035,                0.47054,                0.93415,                0.75676,                0.61728,                 0.6879,                0.42514,                 1.3499,                 1.3545,                  1.449,              0.0071884,              0.0071884,              0.0071884
                    145,                0.95007,                0.47354,                0.93252,                0.75401,                0.60678,                0.67791,                 0.4174,                 1.3531,                 1.3827,                 1.4542,              0.0071686,              0.0071686,              0.0071686
                    146,                0.95258,                0.47505,                0.93615,                0.75271,                0.60331,                0.67903,                 0.4212,                 1.3532,                 1.3286,                 1.4627,              0.0071488,              0.0071488,              0.0071488
                    147,                0.94786,                0.46899,                0.93406,                0.69882,                0.64663,                0.68207,                 0.4221,                 1.3512,                 1.3434,                 1.4654,               0.007129,               0.007129,               0.007129
                    148,                0.94364,                0.46646,                0.93609,                0.74804,                0.61981,                0.68495,                0.42392,                  1.358,                 1.3508,                 1.4671,              0.0071092,              0.0071092,              0.0071092
                    149,                0.94226,                0.46789,                0.93208,                0.75844,                0.62502,                0.68803,                0.42679,                 1.3474,                 1.3387,                 1.4571,              0.0070894,              0.0070894,              0.0070894
                    150,                0.93271,                 0.4635,                0.93025,                0.75374,                0.62104,                0.68842,                0.43023,                 1.3513,                 1.3405,                 1.4596,              0.0070696,              0.0070696,              0.0070696
                    151,                0.94135,                0.46777,                0.92935,                0.76149,                0.62191,                0.69472,                0.43124,                  1.347,                 1.3381,                 1.4561,              0.0070498,              0.0070498,              0.0070498
