               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.057234,            0.060164,          0.00085613,             0.75902,             0.64309,             0.69012,             0.37683,            0.048801,            0.061579,           0.0048396,            0.008839,            0.008839,            0.008839
                 131,            0.057227,            0.060491,          0.00082696,              0.7672,             0.62217,             0.67039,              0.3667,            0.048502,            0.060294,           0.0043946,             0.00883,             0.00883,             0.00883
                 132,            0.056966,             0.06079,          0.00076206,             0.74646,             0.61782,             0.66867,             0.37534,            0.049219,            0.064614,           0.0049748,            0.008821,            0.008821,            0.008821
                 133,            0.057965,            0.058457,          0.00086022,             0.73709,             0.59558,             0.64492,             0.35992,            0.048683,            0.064176,           0.0048278,            0.008812,            0.008812,            0.008812
                 134,            0.057597,             0.05854,          0.00072753,             0.77707,             0.62132,             0.68981,             0.38121,            0.048524,            0.062706,           0.0047898,            0.008803,            0.008803,            0.008803
                 135,            0.056769,            0.060206,          0.00083186,             0.74882,             0.63451,             0.68023,             0.37749,            0.048715,            0.062834,           0.0044711,            0.008794,            0.008794,            0.008794
                 136,            0.057186,             0.06029,          0.00082626,             0.75612,             0.63209,             0.69355,             0.38583,            0.048362,            0.063134,           0.0045378,            0.008785,            0.008785,            0.008785
                 137,            0.057531,            0.059954,          0.00083655,              0.7469,               0.642,             0.68408,             0.38063,            0.048402,            0.061489,           0.0044664,            0.008776,            0.008776,            0.008776
                 138,            0.056791,            0.060396,          0.00080256,             0.76417,             0.62247,              0.6811,             0.37559,            0.048624,            0.062144,           0.0045407,            0.008767,            0.008767,            0.008767
                 139,            0.057167,            0.058946,          0.00073264,             0.75805,             0.64929,             0.70178,             0.39027,             0.04764,            0.060734,           0.0042319,            0.008758,            0.008758,            0.008758
                 140,            0.056952,            0.059759,          0.00076815,             0.74468,             0.61784,             0.66748,             0.37564,            0.048149,            0.064069,           0.0046084,            0.008749,            0.008749,            0.008749
                 141,            0.056735,            0.060228,          0.00073704,             0.78018,             0.61466,             0.68161,             0.38201,            0.048439,            0.063035,           0.0045576,             0.00874,             0.00874,             0.00874
                 142,            0.056831,            0.058995,          0.00073403,             0.76595,             0.64013,             0.68834,             0.38674,            0.048359,             0.06568,           0.0046824,            0.008731,            0.008731,            0.008731
                 143,            0.056905,            0.060027,          0.00078663,             0.78324,             0.62165,             0.68786,             0.38986,            0.048353,            0.064764,           0.0048243,            0.008722,            0.008722,            0.008722
                 144,            0.057438,            0.059479,          0.00080999,             0.77769,             0.64345,             0.70667,               0.401,            0.047568,            0.060887,           0.0045191,            0.008713,            0.008713,            0.008713
                 145,            0.056666,            0.058987,          0.00070725,             0.77949,             0.62277,             0.68831,             0.39228,             0.04752,            0.062931,           0.0046876,            0.008704,            0.008704,            0.008704
                 146,            0.055887,             0.05943,          0.00068251,               0.764,             0.61985,             0.68455,             0.38756,            0.047887,            0.062692,           0.0047171,            0.008695,            0.008695,            0.008695
                 147,            0.055928,            0.058468,          0.00081232,             0.78093,             0.63922,             0.70269,             0.39821,             0.04795,             0.06304,           0.0043629,            0.008686,            0.008686,            0.008686
                 148,            0.055842,            0.059369,           0.0007797,             0.77637,             0.63142,             0.69013,             0.38944,            0.048363,            0.064099,           0.0044816,            0.008677,            0.008677,            0.008677
                 149,            0.057069,            0.058475,          0.00083354,             0.78631,             0.60684,             0.67267,             0.38221,            0.048211,            0.065406,           0.0044884,            0.008668,            0.008668,            0.008668
                 150,            0.056374,             0.05913,           0.0007069,             0.76208,             0.61459,             0.67349,             0.38171,            0.047954,            0.064224,           0.0044823,            0.008659,            0.008659,            0.008659
                 151,            0.056142,            0.059671,          0.00073676,             0.76425,             0.61397,             0.66988,             0.38052,            0.047989,            0.063487,           0.0045805,             0.00865,             0.00865,             0.00865
