                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.89505,                0.42431,                0.84154,                 0.7469,                0.65263,                0.69174,                0.40596,                 1.3948,                 1.0705,                 1.1536,               0.007327,               0.007327,               0.007327
                    137,                0.88085,                 0.4175,                0.84026,                0.74628,                0.65408,                0.69693,                0.41194,                 1.3818,                 1.0739,                 1.1498,              0.0073072,              0.0073072,              0.0073072
                    138,                0.88468,                0.41932,                0.83853,                0.73996,                0.65168,                0.69215,                0.40813,                 1.3806,                 1.0586,                 1.1428,              0.0072874,              0.0072874,              0.0072874
                    139,                 0.8651,                0.41187,                0.83805,                0.74903,                0.65263,                0.70007,                0.41653,                 1.3728,                 1.0306,                 1.1401,              0.0072676,              0.0072676,              0.0072676
                    140,                 0.8802,                0.41833,                0.83726,                0.74635,                0.65168,                0.70069,                0.41183,                 1.3923,                  1.096,                 1.1477,              0.0072478,              0.0072478,              0.0072478
                    141,                0.87566,                0.41515,                 0.8397,                0.74321,                0.65746,                0.70605,                0.41358,                 1.3817,                 1.0717,                  1.143,               0.007228,               0.007228,               0.007228
                    142,                0.86988,                0.41363,                0.83611,                0.74136,                0.65084,                 0.7018,                0.41531,                 1.3831,                 1.0963,                  1.143,              0.0072082,              0.0072082,              0.0072082
                    143,                0.86859,                0.41164,                0.83892,                0.75925,                0.64836,                0.70335,                0.41666,                 1.3776,                 1.0909,                 1.1466,              0.0071884,              0.0071884,              0.0071884
                    144,                 0.8628,                0.41191,                0.83615,                0.74867,                0.65665,                0.69965,                0.41431,                 1.3691,                 1.0432,                  1.148,              0.0071686,              0.0071686,              0.0071686
                    145,                0.85112,                0.40547,                0.83671,                0.73717,                0.66745,                0.70282,                0.41707,                 1.3738,                 1.0286,                 1.1538,              0.0071488,              0.0071488,              0.0071488
                    146,                0.85555,                 0.4088,                0.83688,                 0.7362,                0.66894,                 0.7056,                0.41883,                 1.3796,                 1.0478,                 1.1483,               0.007129,               0.007129,               0.007129
                    147,                0.85931,                 0.4063,                0.83763,                0.72557,                0.66674,                0.70228,                0.41823,                 1.3818,                 1.0653,                 1.1485,              0.0071092,              0.0071092,              0.0071092
                    148,                0.84876,                0.40245,                0.83529,                0.75454,                0.63773,                0.69771,                0.41398,                 1.3848,                 1.0985,                 1.1539,              0.0070894,              0.0070894,              0.0070894
                    149,                0.85945,                0.40785,                 0.8349,                0.72269,                0.66243,                0.69117,                0.41032,                 1.3836,                  1.093,                 1.1538,              0.0070696,              0.0070696,              0.0070696
                    150,                 0.8479,                0.40157,                0.83491,                0.74727,                0.65783,                 0.7022,                0.41732,                 1.3741,                 1.0447,                 1.1476,              0.0070498,              0.0070498,              0.0070498
                    151,                0.84539,                0.40203,                0.83308,                 0.7495,                  0.645,                0.69074,                0.41235,                 1.3832,                 1.0975,                 1.1524,                0.00703,                0.00703,                0.00703
                    152,                0.84286,                0.40232,                0.83355,                 0.7361,                0.65559,                0.69248,                0.41474,                 1.3791,                 1.1001,                 1.1527,              0.0070102,              0.0070102,              0.0070102
